YEAR,COUNTY,DEM,REP,LIB,GRN,UNA,OTH,Total
2018,Allegany,13557,21549,285,137,7143,319,42990
2018,Anne Arundel,162683,134806,2864,843,83248,1430,385874
2018,Baltimore City,305704,30873,1475,1264,47859,1768,388943
2018,Baltimore County,310019,142739,3203,1401,91948,4627,553937
2018,Calvert,23661,27415,480,132,13185,383,65256
2018,Caroline,6776,9390,123,25,3812,109,20235
2018,Carroll,32198,62908,905,254,23816,835,120916
2018,Cecil,21440,28190,439,142,14138,563,64912
2018,Charles,67938,24871,511,167,18141,506,112134
2018,Dorchester,9912,8182,103,25,3033,105,21360
2018,Frederick,64669,67012,1340,443,39092,351,172907
2018,Garrett,4175,12744,109,36,2463,141,19668
2018,Harford,64545,77772,1381,397,35004,1110,180209
2018,Howard,108243,55158,1263,504,47883,1821,214872
2018,Kent,6044,4786,82,29,2077,101,13119
2018,Montgomery,390400,112995,3086,1572,142173,5189,655415
2018,Prince George's,456702,40500,1677,1052,68270,11322,579523
2018,Queen Anne's,10724,17896,251,69,6527,181,35648
2018,St. Mary's ,25678,29453,558,138,14411,409,70647
2018,Somerset,5885,5301,62,20,1821,72,13161
2018,Talbot,10273,11535,159,47,4814,209,27037
2018,Washington,32081,42395,703,245,19093,585,95102
2018,Wicomico,26501,22811,407,139,11154,431,61443
2018,Worcester,14076,17088,247,83,6907,318,38719
2018,TOTAL,2173884,1008369,21713,9164,708012,32885,3954027