FIPS,County,DEM_2020,REP_2020,BAR_2020,GRN_2020,LIB_2020,WCP_2020,OTH_2020,UNA_2020,TOTAL_2020,DEM_2022,REP_2022,GRN_2022,LIB_2022,WCP_2022,UNAF_2022,OTH_2022,TOTAL_2022,TOTAL_DIFF
24001,Allegany,12820,22530,20,74,204,19,395,7674,43736,11868,22908,78,230,73,8453,389,43999,263
24003,Anne Arundel,174494,135457,105,564,1922,197,2715,90162,405616,175138,130762,650,2300,427,98350,3041,410668,5052
24510,Baltimore City,311610,30163,130,802,951,290,3289,52450,399685,303826,28218,903,1073,646,56663,3971,395300,-4385
24005,Baltimore County,313870,142534,134,898,2227,297,5872,100576,566408,311586,138270,903,2529,685,108672,5999,568644,2236
24009,Calvert,24587,28181,20,89,332,30,567,14178,67984,24005,28073,94,415,70,15489,556,68702,718
24011,Caroline,6629,10039,2,33,86,17,163,4208,21177,6287,10617,34,110,39,4537,164,21788,611
24013,Carroll,33662,63967,27,155,670,38,1072,25770,125361,33890,64368,192,802,101,28865,1051,129269,3908
24015,Cecil,21601,30880,8,103,341,49,727,15110,68819,20849,32227,112,452,104,16672,685,71101,2282
24017,Charles,72416,24711,19,112,349,83,763,19849,118302,74881,23460,131,428,142,22176,862,122080,3778
24019,Dorchester,9848,8730,4,19,78,12,148,3348,22187,9655,9016,22,110,34,3824,189,22850,663
24021,Frederick,72487,68767,55,272,936,77,801,42961,186356,77282,68809,332,1168,176,49092,1087,197946,11590
24023,Garrett,3990,13318,5,21,86,9,154,2600,20183,3739,13711,25,105,20,2841,158,20599,416
24025,Harford,66258,80038,50,232,966,71,1535,37942,187092,65717,80695,248,1196,200,41705,1647,191408,4316
24027,Howard,118705,52748,50,317,812,58,2035,51909,226634,122194,49372,357,903,130,57367,2030,232353,5719
24029,Kent,6008,4996,2,19,50,11,116,2293,13495,5868,5254,20,68,22,2594,111,13937,442
24031,Montgomery,410935,105561,174,1036,2030,229,5816,147417,673198,413365,98170,1128,2266,445,160577,5580,681531,8333
24033,Prince George's,474841,40095,140,707,1177,288,11179,78012,606439,464963,37836,783,1332,593,86155,10872,602534,-3905
24035,Queen Anne's,11091,18930,4,41,188,11,280,7133,37678,11202,19746,47,224,34,8082,299,39634,1956
24037,Saint Mary's,26373,30661,19,100,375,38,606,15661,73833,25640,32009,111,478,87,17028,660,76013,2180
24039,Somerset,5704,5713,4,18,48,8,94,2048,13637,5613,6024,23,62,15,2303,113,14153,516
24041,Talbot,10749,11711,4,30,118,12,248,5122,27994,10865,11760,41,141,20,5682,227,28736,742
24043,Washington,32791,44161,24,130,513,43,875,20509,99046,31626,44282,169,631,126,22325,876,100035,989
24045,Wicomico,27194,23646,11,93,312,44,646,12291,64237,26948,24081,107,354,109,13629,677,65905,1668
24047,Worcester,14134,18275,8,52,179,12,440,7565,40665,13954,19237,55,214,35,8492,465,42452,1787
,,,,,,,,,,,,,,,,,,,