zip,donations,total
20601,6976,190404.72999999978
20602,6758,109716.81999999996
20603,12854,248108.6100000006
20604,247,8033.67
20606,11,131.43
20607,6889,181393.81000000043
20608,337,2569.720000000003
20609,61,2290
20610,68,1669.1999999999998
20611,46,1206
20612,21,399.17
20613,6436,170352.85000000012
20614,21,409
20615,25,633
20616,1703,38740.899999999994
20617,274,7542.26
20618,313,6069.32
20619,2733,63659.01000000006
20620,393,7357.65
20621,66,967
20622,356,8922.109999999999
20623,2075,33616.96000000001
20624,60,795
20625,454,9224.020000000004
20626,240,3636.8600000000006
20627,8,40
20628,43,12163.26
20629,37,813
20630,371,24333.75
20632,21,2812.5
20634,1095,27256.079999999944
20635,23,1176
20636,2316,58391.37
20637,2083,40167.06999999999
20638,24,729.74
20639,3313,119571.28999999998
20640,1569,24599.82999999998
20644,33,659
20645,199,10778.3
20646,5566,130374.95000000004
20647,1,39.8
20649,6,330
20650,3964,144375.84000000023
20653,3608,81705.0799999999
20656,38,1569.76
20657,5067,125720.03000000009
20658,288,10475.370000000004
20659,2061,66697.38
20660,5,190
20662,316,3207.0199999999995
20663,6,135
20664,225,19794.23
20667,37,1525.3899999999999
20669,1,20
20670,100,2542.67
20674,355,9889.67
20675,265,13192.099999999999
20676,4042,51759.59
20677,666,19220.510000000002
20678,2380,49224.85999999996
20679,1,250
20680,87,6197.360000000001
20682,3,153
20683,6,280
20684,90,3067.24
20685,2422,44961.41000000005
20686,776,26377.35
20687,80,2937.49
20688,3855,84676.29000000008
20689,201,18325.74
20690,697,10894.629999999992
20691,4,84
20692,161,5585.110000000001
20693,226,5676.370000000001
20694,3,28
20695,4407,98344.96999999994
20696,2,189.92
20697,12,89
20698,11,205.5
20701,127,5610.76
20702,2,42
20703,225,2404.51
20704,71,1503.76
20705,8949,263127.96999999945
20706,12313,314519.8699999994
20707,16759,392772.42999999854
20708,7135,155413.97000000026
20709,69,826
20710,645,28141.24
20711,1572,67949.20999999996
20712,4346,127500.21000000004
20713,38,307
20714,2108,41288.52999999997
20715,17641,314771.77000000153
20716,9976,277360.8199999999
20717,56,1502.75
20718,237,5407.000000000001
20719,14,385
20720,17274,545108.1899999978
20721,27247,1016134.5099999991
20722,4938,57960.55000000015
20723,12363,402577.18000000034
20724,6276,110552.95999999986
20725,122,5023.42
20726,62,948
20727,5,13
20729,3,70.17
20730,2,25
20731,115,653
20732,4164,104842.46
20733,1910,50651.11
20734,20,578
20735,15308,316990.6299999999
20736,3030,72934.04000000002
20737,3706,102120.56000000013
20738,65,964
20739,4,160
20740,12587,317914.8899999996
20741,1486,40967.22999999998
20742,56,12867.61
20743,6852,165297.1299999999
20744,31497,615052.9699999988
20745,12754,230824.93999999977
20746,5612,110835.93000000007
20747,9223,156460.6300000003
20748,12089,230580.97000000085
20749,123,2894.23
20750,732,10758.440000000002
20751,943,30918.42999999999
20752,39,1026
20753,147,2130
20754,1806,52836.890000000014
20755,718,13748.609999999999
20757,115,2539.17
20758,169,6653.169999999999
20759,4003,216717.4500000003
20762,160,2821.08
20763,1067,16640.289999999997
20764,1593,58113.28999999995
20765,376,18800.059999999998
20768,190,4025.74
20769,7457,183612.53000000017
20770,17073,470197.8199999965
20771,16,223
20772,24555,701566.209999997
20773,348,13695.669999999998
20774,28133,790564.2600000018
20775,333,8819.52
20776,1344,43335.319999999985
20777,2707,111532.35999999994
20778,1436,39547.169999999984
20779,687,29339.599999999988
20781,5853,231033.8899999996
20782,12863,595571.0799999984
20783,5720,339753.4999999998
20784,5749,90245.51000000014
20785,11413,374647.23999999976
20786,52,2143.299999999999
20787,24,339
20788,2,20
20790,2,1760
20791,70,2046.19
20792,210,9272.24
20794,2890,65081.25000000002
20795,77,1970
20796,3,102
20797,2,28
20798,7,89
20801,6,1104
20802,47,1088.26
20803,14,140
20804,15,607
20805,125,6799.7
20806,24,436
20807,7,121
20810,19,2173
20812,416,82029.63
20813,8,280
20814,54366,3840965.980000051
20815,77637,9090681.019999975
20816,35071,3206491.790000002
20817,65357,5935171.610000005
20818,3976,339569.6300000002
20820,1,20
20822,1,5
20823,2,50
20824,474,28802.58
20825,553,11115.519999999999
20826,27,1062
20827,182,12166.57
20828,2,12
20830,139,1310
20832,15646,505974.4099999999
20833,4572,170021.89000000042
20834,29,915
20835,41,413
20836,32,871.25
20837,4684,155442.2500000004
20838,448,18843.38
20839,462,11704.82
20840,21,105
20841,4010,161266.3100000001
20842,978,55610.649999999994
20844,47,1252.5
20845,2,100
20847,11,529
20848,42,757.49
20849,375,4026.31
20850,45289,1625183.4800000193
20851,5030,158464.17000000016
20852,48307,1984718.029999996
20853,19911,556389.1599999968
20854,55150,4750407.0800000075
20855,10620,442482.6699999997
20856,15,782
20858,7,92
20859,329,43985.94
20860,4148,138927.70000000022
20861,2729,124085.48999999998
20862,260,16786.32
20864,52,1064
20865,38,1886
20866,6180,175550.99000000046
20867,14,1045
20868,451,11939.11
20869,7,305
20870,9,450
20871,8598,204083.8700000006
20872,7302,125311.22000000012
20873,6,225
20874,22381,527915.7199999968
20875,256,7279.070000000001
20876,9660,214333.43000000037
20877,15286,371444.01
20878,41096,1313016.6799999939
20879,10054,219295.58000000266
20880,1356,52557.24000000001
20882,8651,261341.96000000022
20883,100,50776.7
20884,42,388
20885,98,2054.08
20886,16207,362243.20999999874
20887,32,455
20889,2,28
20892,5,500
20893,39,539
20894,13,230
20895,26497,1347975.3600000064
20896,1962,161566.2600000002
20897,9,58
20898,42,481.23
20899,30,3050
20901,42989,1309525.8700000062
20902,29875,1073108.0000000023
20903,6587,250580.09999999992
20904,41324,1477418.6700000064
20905,12733,509001.05000000366
20906,54095,1138991.140000007
20907,244,4264.09
20908,26,583
20910,60712,2979373.470000009
20911,104,1824.23
20912,38778,1936275.0900000038
20913,335,55972.77
20914,309,7685.58
20915,29,3230
20916,797,5998.530000000001
20917,23,1278.1100000000001
20918,9,326
20919,5,22
20920,37,1202.4000000000005
20922,1,250
20923,16,527.75
20925,3,150
20932,10,172
20939,24,152
20941,1,25
20950,294,5786.439999999999
20952,11,148
20953,258,5330.93
20954,129,1389.7999999999993
20960,3,215
20966,1,10
20971,8,101.17
20972,1,69.96
20974,19,2103
20976,1,10
20977,1,100
20978,18,547.8199999999999
20979,3,17
20984,1,10
20985,2,105
20986,16,98
20991,128,1591.3000000000002
20992,33,642
20993,1,100
20994,21,895
20995,10,287.20000000000005
20996,31,991.7200000000001
20997,4,30
21001,9185,126335.17999999996
21002,4,79
21005,1513,7449.8
21006,2,50
21008,6,185
21009,5538,94785.23000000003
21010,1196,18019.26
21012,11344,448162.7999999995
21013,1809,42460.45999999997
21014,9571,216782.57000000024
21015,7969,198034.80999999962
21016,18,163.71999999999997
21017,1139,18434.399999999998
21018,1,25
21019,4,675
21020,38,527
21021,2,105
21022,147,3757.27
21023,188,7414.900000000003
21024,4,140
21025,4,255
21027,8,300
21028,777,21243.45
21029,5070,334097.21000000037
21030,9939,375350.1199999992
21031,10,589.24
21032,5033,231805.08000000002
21033,43,1582
21034,608,23530.29
21035,6200,200449.85000000024
21036,1189,69995.87
21037,9471,376584.1499999987
21039,9,822
21040,2305,33320.56
21041,132,2730.9100000000003
21042,28455,1050627.5999999992
21043,20844,686790.2499999983
21044,44569,1337506.6200000034
21045,30660,803755.2300000013
21046,11234,309389.19999999896
21047,2633,69101.56999999999
21048,2073,66157.87999999996
21049,1,3
21050,3563,70752.11000000012
21051,461,25766.14
21052,16,551
21053,776,14091.339999999998
21054,5833,159548.24000000028
21055,1,500
21056,98,38413
21057,2464,65720.03000000001
21059,10,56
21060,14209,173872.13999999993
21061,10219,168692.45000000004
21062,126,856.5
21064,32,688
21065,1,100
21067,1,100
21069,15,126
21071,287,8471.130000000001
21073,2,20
21074,2983,55540.70000000002
21075,8984,224807.71000000034
21076,6352,235382.90000000017
21077,85,1464.38
21078,7808,212588.47000000055
21079,3,175
21080,2,20
21082,459,13343.93
21083,10,275
21084,1638,29954.660000000033
21085,2745,55980.65999999996
21086,3,87
21087,656,20466.260000000002
2109,2,105
21090,1933,50232.640000000036
21092,4,74.96000000000001
21093,22218,633944.1899999967
21094,40,17794.12
21096,2,100
21099,3,50
21101,72,1499.5600000000002
21102,3317,51923.16000000006
21103,2,11
21104,4210,99374.20000000013
21105,28,267
21106,26,1213.24
21107,2,35
21108,6603,220072.78000000006
21109,1,40.48
21111,3969,93046.8800000003
21112,1,25
21113,16279,444059.96000000014
21114,8848,236144.47000000044
21115,5,108
21116,21,1380.24
21117,23052,657696.399999998
21118,6,123
21120,2596,77234.65999999997
21121,2,53
21122,9609,221055.7499999993
21123,59,1086.3700000000001
21124,3,240
21127,7,283
21128,1908,49255.929999999986
21130,7,225
21131,2873,130327.89000000013
21132,185,6295.84
21133,8682,146954.52000000025
21134,21,552
21135,1,100
21136,11483,323548.850000002
21137,2,20
21139,580,10016.789999999997
21140,1294,55152.62999999996
21143,3,210
21144,11718,222529.8500000001
21145,1,50
21146,13148,487095.9399999995
21147,16,344.63
21149,1,7.71
21150,45,748
21152,1796,80268.00000000007
21153,1329,41921.91000000001
21154,568,14000.14
21155,578,15340.34
21156,40,1304.9999999999998
21157,8691,202460.4400000002
21158,4343,99560.21000000004
21160,285,5854.12
21161,1036,26816.29999999997
21162,705,11934.46
21163,4816,171400.08000000005
21164,1,100
21171,8,80
21173,1,1000
21174,33,228
21176,2,55
21200,22,110
21201,6643,366729.6200000009
21202,6148,382084.85000000085
21203,167,7428.41
21204,12273,511605.4999999996
21205,1021,23248.110000000015
21206,6518,111044.21999999999
21207,13152,198563.10000000015
21208,21511,700900.8699999987
21209,26774,644100.539999995
21210,25454,1443604.7700000436
21211,13357,433904.2699999998
21212,25556,1146181.100000002
21213,3715,75637.8300000001
21214,7525,156481.40000000066
21215,10084,148706.3900000006
21216,3837,59446.779999999984
21217,6787,338081.31999999844
21218,31378,1018091.8099999998
21219,1232,28739.510000000017
21220,3341,75693.55000000031
21221,3250,65432.59999999995
21222,3776,62814.889999999956
21223,1598,27742.830000000005
21224,12042,379731.17999999964
21225,2446,27074.09999999997
21226,636,12090.19
21227,4190,96694.33000000005
21228,26381,597323.7399999986
21229,8355,157636.48000000007
21230,13266,623503.7299999964
21231,7981,281612.8999999996
21232,12,414.4
21233,28,238
21234,12937,250143.7600000003
21235,13,268
21236,5621,122992.59000000026
21237,3793,79481.20000000007
21238,13,734
21239,11716,161538.66000000044
21240,14,522
21241,1,25
21243,10,168
21244,9590,141657.7900000002
21245,19,176
21246,26,1031
21249,3,22
21250,5,206
21251,9,134
21252,9,120
21253,1,100
21255,1,5
21257,55,1454.5
21261,12,135
21262,2,45
21265,3,1000
21271,2,12
21275,1,100
21281,1,10
21282,274,5933.99
21284,171,3867.14
21285,3,650
21286,12808,415242.91999999946
21287,33,1663
21288,1,25
2129,2,12
21291,3,300
21294,2,100
21296,15,335.5
21297,8,122
21298,1,100
21299,2,105
2130,4,163.31
21301,12,230
21302,15,525
21303,10,464.65999999999997
21304,97,1173.9400000000003
21305,1,100
21306,9,73
21307,7,55
21308,5,103
21309,3,70
21310,7,120.62
21311,2,34.17
21312,3,210
21315,5,57
21316,3,125
21317,3,33
21318,81,2430.24
21320,9,728.15
21323,2,14.38
21328,20,300
21330,1,50
21331,2,80
21332,2,29
21334,13,63
21336,4,140
2134,1,100
21344,2,25
21346,2,29
21386,3,170
21401,36733,1649639.400000007
21402,172,9181.1
21403,25115,1333098.2500000054
21404,217,8654.399999999998
21405,1726,51961.95999999998
21406,5,850
21407,1,1010
21408,135,263
21409,11407,445531.4299999982
21410,2,100
21412,6,91.07
21428,21,210
21430,1,40
21442,1,150
21491,22,660
21493,6,133
21498,3,130
21501,45,625
21502,7293,116830.50000000042
21503,18,648.06
21504,2,50
21509,17,970
2152,1,25
21520,197,8828.130000000001
21521,53,890.1600000000001
21523,6,46
21524,5,7
21529,33,886
21530,475,11216.91
21531,191,4804.52
21532,1754,43536.08000000003
21533,3,55.239999999999995
21536,466,10208.630000000001
21538,17,85
21539,28,785.4200000000001
21540,1,56.18
21541,381,19362.08
21545,55,972.24
21550,1946,54859.00000000003
21555,229,5493.5
21557,71,1640.1999999999998
21560,8,127.17
21561,752,17515.689999999995
21562,202,2810.76
21565,2,8
21574,3,110
21591,1,1
21592,5,63
21601,15791,628699.1599999968
21602,26,529
21604,1,25
21607,2,350
21610,279,3615.8
21612,232,8710.380000000001
21613,3942,120616.02999999994
21614,1,17
21615,2,12
21617,3054,57825.34999999997
21618,2,30
21619,3573,96216.21999999994
21620,7513,422426.1699999993
21622,17,546.72
21623,282,7916.639999999999
21624,164,8929.2
21625,258,8292.2
21627,4,28
21628,119,2211.88
21629,1206,24259.210000000006
21631,94,3551.46
21632,758,8827.550000000001
21635,611,12718.539999999997
21636,58,1112
21638,1114,33617.01
21639,559,10110.96
21640,141,3286.5
21641,17,197
21643,740,13598.149999999998
21645,196,5711.840000000006
21647,635,15435.859999999997
21648,4,240
21649,100,2484.55
21650,222,8666
21651,297,5999.56
21652,249,5809.5
21653,75,1085
21654,6312,175200.69
21655,427,15772.760000000002
21657,61,2836.7200000000003
21658,916,52629.99000000004
21659,1,10
21660,722,14024.060000000001
21661,1339,25956.929999999997
21662,821,71666.80999999998
21663,3198,165478.48000000045
21664,37,803
21665,141,8093.42
21666,3570,104492.80000000018
21667,445,7539.389999999999
21668,148,2688.7899999999995
21669,146,4473.520000000004
21670,15,29
21671,397,13720.66
21672,6,92
21673,437,18756.350000000002
21676,78,9237.36
21677,28,1214
21678,1059,22807.97999999999
21679,213,5971.209999999999
21691,1,100
21701,24907,631639.1800000038
21702,17174,430403.05999999936
21703,8726,203219.95000000024
21704,5672,213888.01000000007
21705,449,9141.099999999999
21706,1,10
21710,1509,45716.58000000003
21711,30,741
21713,1829,40567.68999999998
21714,426,15300.23
21715,93,4130
21716,2201,47591.569999999985
21717,97,3016.26
21718,165,4618.8
21719,115,1636.0099999999998
21720,48,1214
21721,4,63
21722,248,4822.030000000004
21723,214,7010.54
21727,606,16539.529999999995
21728,5,89
21730,4,300
21733,95,2380.62
21734,137,2700
21737,1141,42184.979999999996
21738,2133,91235.83999999994
21740,9084,156266.82999999897
21741,26,1301
21742,9377,180980.25000000058
21743,19,188.43
21748,3,112
21749,2,303
21750,1588,25647.73999999999
21752,4,40
21753,9,294
21754,3459,99558.51999999967
21755,2271,65008.77999999997
21756,706,23079.649999999976
21757,121,3157.34
21758,1923,35589.54000000006
21759,2,67
21762,127,4213.839999999999
21764,1,25
21765,225,2593.999999999999
21766,28,1177.77
21767,79,3614.5299999999997
21768,4,125
21769,3776,108657.45999999993
21770,1985,51007.11
21771,8933,209328.0900000004
21772,26,183
21773,1692,26795.68000000001
21774,5176,144050.66000000012
21775,20,1112
21776,1182,21786.809999999998
21777,720,13418.099999999999
21778,187,2955.6699999999983
21779,475,6884.26
21780,227,6613.8499999999995
21781,2,110
21782,1239,23007.480000000003
21783,1072,22073.15
21784,9655,257843.1300000003
21785,28,1329
21786,1,5
21787,944,30285.629999999997
21788,2817,109285.4999999998
21789,1,100
21790,5,349.24
21791,1283,18969.599999999995
21792,26,355
21793,2311,63179.49999999996
21794,648,27815.850000000013
21795,1602,25785.01000000001
21797,3224,169015.33999999994
21798,331,18457.95
21801,4484,130242.52999999998
21802,194,2387.96
21803,82,1374.16
21804,7964,177007.2200000002
21805,3,225
21806,1,25
21808,11,149
21810,3,90
21811,9781,276675.0200000005
21812,5,255
21813,1012,18157.769999999997
21814,274,5105.589999999998
21816,2,125
21817,312,6336.919999999993
21818,1,100
21820,3,43
21821,155,2020.3400000000001
21822,632,12221.479999999998
21823,1,150
21824,16,166
21826,717,10358.839999999998
21829,17,435
21830,383,9341.890000000001
21835,19,79
21837,509,5382.609999999997
21838,55,1579
21840,59,936.9400000000002
21841,349,6055.21
21842,2437,52256.51999999999
21843,469,5810.200000000001
21849,541,11445.820000000002
21850,110,1634.26
21851,810,13798.000000000004
21852,1,20
21853,555,8938.869999999994
21854,1,10
21855,1,50
21856,221,2715.48
21858,6,98.28
21861,42,1238.1599999999999
21862,2,20
21863,778,15254.77
21864,59,2239.66
21865,284,5664.640000000003
21867,3,104
21869,178,1823.8399999999983
21871,135,2733.2100000000005
21872,51,683.82
21873,1,30
21874,139,1668.7499999999998
21875,853,14828.73
21876,1,20
21877,4,41
21893,2,55
21894,4,96
21898,5,85
2190,8,536.65
21901,2086,51409.42999999997
21902,44,410
21903,1147,15152.060000000001
21904,1461,27753.210000000003
21905,4,139
21908,1,10
21911,1120,18688.95999999996
21912,119,4150.6
21913,93,2956.27
21914,114,2967.6400000000003
21915,792,16423.720000000012
21916,23,382
21917,167,6169.52
21918,604,11263.310000000001
21919,995,19727.170000000002
21920,16,331
21921,6975,152703.25000000017
21922,46,5898
21925,1,100
21928,2,50
21929,1,100
21930,55,2363
21937,1,50
21942,25,561.24
21943,5,160
21944,16,374
21945,1,35
21946,1,50
21947,3,105
21950,2,110
21953,2,12
21965,21,280
21975,5,163
21991,2,12
21993,19,221
22001,2,11
22014,2,55
22017,1,10
22027,2,250
22042,41,200
22043,10,140
22044,23,467
22045,14,183
22046,5,440
22047,161,7081
22050,1,25
22057,16,250.72000000000003
22061,2,28
22066,1,100
22075,3,63
22076,2,55
22078,20,660
22085,1,13.43
2209,1,20
22093,6,266
22104,2,220
22113,1,3
22114,13,13
22117,1,10
22122,21,920
22124,2,13
22133,22,177.86
22146,5,150
22150,1,10
22157,1,25
22192,1,10
22204,1,47
22205,2,29
22207,2,88.25999999999999
22208,4,125
22209,17,303.0399999999999
22213,3,12
22216,3,60
22218,1,50
22220,3,35
22228,4,69
22234,3,40
22237,1,5
22244,2,150
22286,1,25
22303,5,236.17000000000002
22304,3,60
22306,7,150.72
22307,2,3000
22310,9,95
22311,3,505
22314,3,62
22315,3,17
22324,1,500
22401,20,409
22402,15,455
22403,18,638
22407,2,7
22502,18,571
22550,5,20
22551,2,55
22554,2,29
22601,14,226
22602,2,29.64
22613,5,155
22617,21,179
22651,1,3
22654,2,1000
22658,13,130
22661,2,12
22663,5,35
22701,1,10
22702,7,435
22703,16,194
22704,6,118
22714,1,250
22738,8,193
22740,1,48.26
22745,1,15
22750,1,250
22769,9,163.5
22770,1,20
22771,82,1133.18
22774,2,75
22787,3,175
22791,4,60
22793,3,50
22801,5,275
22804,8,160
22807,2,1100
22811,10,500
22815,1,15
22817,7,17200
22842,1,20
22875,1,50
22910,33,12299
22913,13,457
22915,6,330
