GEOID,County,Glassman,Lierman,Write-ins
24001,Allegany,13634,4915,10
24003,Anne Arundel,82276,67776,142
24510,Baltimore City,16295,101953,221
24005,Baltimore County,91129,109506,232
24009,Calvert,18797,11353,23
24011,Caroline,6662,2407,4
24013,Carroll,40342,15337,49
24015,Cecil,19361,7191,21
24017,Charles,14573,26535,38
24019,Dorchester,5814,3162,10
24021,Frederick,44542,35887,57
24023,Garrett,7821,1552,6
24025,Harford,55438,26742,282
24027,Howard,39518,64048,80
24029,Kent,3817,2636,2
24031,Montgomery,66415,170063,252
24033,Prince George's,19395,154719,273
24035,Queen Anne's,13354,5261,7
24037,Saint Mary's,20568,10685,22
24039,Somerset,3738,1783,6
24041,Talbot,8307,6015,9
24043,Washington,27843,13558,24
24045,Wicomico,14407,9403,22
24047,Worcester,12655,5654,7