GEOID,County,Hogan,Jealous,Quinn,Schlakman,Write-ins
24001,Allegany ,19224,3985,166,139,16
24003,Anne Arundel ,157202,69399,1366,1052,187
24510,Baltimore City ,58360,123609,1055,1491,176
24005,Baltimore County,198122,122773,1633,1492,256
24009,Calvert ,29610,9216,303,130,25
24011,Caroline ,9489,1900,82,28,6
24013,Carroll ,62445,11767,533,261,45
24015,Cecil ,27063,7354,353,154,15
24017,Charles ,31756,32100,274,193,37
24019,Dorchester ,9205,3043,72,39,8
24021,Frederick ,72560,33355,746,499,59
24023,Garrett ,9472,1395,86,48,7
24025,Harford ,85259,24012,756,461,91
24027,Howard ,80574,61146,800,752,111
24029,Kent ,6370,2222,43,57,2
24031,Montgomery ,180018,224029,1922,2110,349
24033,Prince George's ,89925,225889,1469,1423,279
24035,Queen Anne's ,19503,3268,99,86,15
24037,Saint Mary's,30703,9084,410,170,27
24039,Somerset ,5203,2379,71,33,16
24041,Talbot ,14081,3957,79,66,7
24043,Washington ,38765,10894,491,268,43
24045,Wicomico ,22659,10426,284,141,24
24047,Worcester ,18076,5437,148,82,12