zip,total
20106,100
20109,250
20111,75
20130,27.5
20137,1010
20143,75
20145,120
20146,52
20147,250
20155,634
20172,750
20175,50
20184,857
20185,29345
20186,20
20190,1135
20193,75
20194,25
20201,25
20207,1000
20227,25
20236,314.5
20406,19
20409,165
20417,90
20464,25
20475,20
20507,35
20509,25
20518,15
20580,521
20601,26617.81
20602,10456.44
20603,41199.67
20604,541
20606,16.5
20607,20866.61
20608,305.5
20609,148
20610,80.88
20613,13728.93
20614,5
20615,81.5
20616,4124.56
20617,1209.7
20618,606.5
20619,7242.92
20620,755.5
20621,29
20622,1011.5
20623,3668.56
20624,139.5
20625,1323.26
20626,602.5
20628,5149
20629,425
20630,325
20634,5724.86
20636,10881.22
20637,4259.2
20639,20916.44
20640,3346.04
20645,90
20646,17083.51
20647,10
20650,15514.9
20653,14846.55
20657,21773.5
20658,1210.68
20659,8196.36
20662,1315.18
20664,2169
20667,428.5
20670,211
20674,1663.22
20675,4320
20676,14001.13
20677,2125
20678,6720.36
20680,3675
20682,25
20684,193
20685,6451.44
20686,3420.7
20687,268
20688,16402.21
20689,762
20690,1415.24
20692,220.47
20693,910.9
20695,8587.4
20696,55
20698,92.85
20701,1345
20702,159
20703,165.24
20704,43
20705,41035.37
20706,45613.48
20707,66373.67
20708,29724.83
20709,486
20710,5424.5
20711,19099.27
20712,21893.91
20713,80
20714,7062.41
20715,52535.25
20716,35491
20717,245
20718,3987.9
20720,97557.53
20721,122700.42
20722,15413.47
20723,47158.03
20724,16990.48
20725,624
20726,178.5
20727,10
20729,15
20731,159
20732,16660.18
20733,8591.1
20734,49
20735,49239.74
20736,17574.63
20737,22759.88
20738,662.5
20740,55985.85
20741,16193.2
20742,444
20743,21754.45
20744,96990.27
20745,37537.44
20746,17308.44
20747,24257.35
20748,36519.45
20749,3599
20750,2515.76
20751,10899.08
20752,275
20753,1117
20754,7766.02
20755,2158.54
20756,25
20757,150
20758,1886.29
20759,25238.81
20760,27.5
20762,728
20763,6937.68
20764,13764.1
20765,2040
20768,642.5
20769,40900.44
20770,94850.85
20772,77618.04
20773,640.3
20774,87764.19
20775,335
20776,7794.5
20777,25644.29
20778,3251.97
20779,16548.51
20781,44207.49
20782,102910.54
20783,23054.53
20784,16966.52
20785,47805.02
20786,4.4
20787,248
20791,754.5
20792,2698.4599999999996
20794,9360.8
20795,246
20798,25
20800,275
20801,30
20802,75
20803,161.5
20804,50
20805,2918.5
20806,117
20807,75
20810,4162.6
20812,9983.2
20813,5800
20814,852308.93
20815,2476159.11
20816,626049.57
20817,1340696.1
20818,92990.91
20819,25
20824,2735.5
20825,1118.19
20827,1020.98
20830,880
20832,115354.08
20833,34761.42
20834,208
20835,299.72
20836,339
20837,24140.17
20838,5862.5
20839,250
20840,20
20841,51763.85
20842,11821.21
20843,153
20846,15
20847,50
20848,310
20849,1622.86
20850,362622.99
20851,26691.79
20852,432156.09
20853,120246.59
20854,1032443.47
20855,83307.91
20859,4594.5
20860,27266.39
20861,19561.2
20862,1383.5
20864,111.5
20865,700
20866,38466.98
20868,2733.27
20869,41.25
20870,27
20871,28163.28
20872,25675.41
20874,106671.36
20875,2971.8
20876,41433.01
20877,75438.76
20878,321611.91
20879,38186.58
20880,17330.52
20882,49470.73
20883,24499.01
20885,167
20886,81079.51
20887,100
20888,100
20891,62
20892,37.5
20893,35
20895,308058.19
20896,25793.67
20898,145.5
20899,3250
20901,265229.22
20902,233189.66
20903,62539.18
20904,288676.34
20905,97625.31
20906,281501.71
20907,881
20908,175
20910,645064.74
20911,1332
20912,565004.06
20913,115225.42
20914,1686
20916,2831.68
20917,100
20919,105
20920,271
20950,25
20952,70
20953,19258.24
20954,391.7
20963,45.22
20978,27.5
20979,3
20985,50
20991,75
20992,104.1
20994,1594
20995,79.5
20996,33.5
21001,27737.74
21003,50
21004,250
21005,1301.12
21009,18762.16
21010,4170.9
21012,78343
21013,5974.25
21014,60621.04
21015,95821.03
21016,45
21017,4196.72
21019,450
21020,35
21022,1252
21023,978.6
21024,24.2
21025,60
21027,100
21028,5138.14
21029,52256.39
21030,88428.48
21032,35314.24
21033,127.5
21034,2481.33
21035,43091.73
21036,4457.42
21037,53078.12
21038,5
21040,7597.5
21041,69.5
21042,212014.27
21043,110968.32
21044,275218.94
21045,159432.62
21046,58188.4
21047,14208.02
21048,10694.23
21050,21222.82
21051,787
21052,5
21053,2589.16
21054,17548.78
21055,1000
21056,12752.5
21057,18056.99
21058,205
21060,52983.69
21061,32546.4
21062,371
21069,24.5
21071,1953.5
21073,75
21074,26773.02
21075,31803.44
21076,35991.71
21077,645
21078,52199.86
21082,730.92
21083,45
21084,5903.96
21085,10388.52
21087,2872.35
21090,8394.64
21093,100859.02
21094,2111
21101,228.8
21102,6690.81
21104,18593.88
21105,70
21106,250
21108,39812.55
21111,22119.91
21112,37.5
21113,70935.15
21114,42239.22
21117,93614.29
21118,5
21120,19602.23
21122,33814.73
21123,281
21127,61
21128,7233.1
21130,10
21131,30505.57
21132,5315.54
21133,22103.65
21134,26
21135,20
21136,52960.24
21139,2115.97
21140,4726.27
21141,110
21143,25
21144,35828.15
21145,3772.63
21146,70244.53
21147,84
21150,209
21152,11330.96
21153,9738.41
21154,2182.7
21155,3240.2
21156,140
21157,32402.09
21158,22464.46
2116,110
21160,1060.9
21161,6702.56
21162,1595.2
21163,30176.28
21167,3
21174,117
21200,130
21201,82719.03
21202,45354.85
21203,411.5
21204,117834.82
21205,2978.94
21206,16673.48
21207,34070.12
21208,137641.51
21209,130606.97
21210,260565.02
21211,74976.25
21212,242068.99
21213,16141.18
21214,32376.71
21215,29343.13
21216,9890.39
21217,58129.64
21218,233353.34
21219,3516.2
21220,9782.31
21221,6303.52
21222,11690.119999999999
21223,3205.8
21224,56778.43
21225,4071.32
21226,3032.2
21227,11353.08
21228,103301
21229,23745.39
21230,116684.92
21231,51431.23
21232,328
21234,61279.74
21235,16.5
21236,14840.77
21237,11458.52
21238,95
21239,24702.59
21240,25
21243,2
21244,20889.98
21245,27.5
21246,25
21248,27.5
21250,2000
21251,74.7
21252,100
21257,57.08
21258,45
21282,1787.5
21283,25
21284,1263.5
21285,279.1
21286,49783.92
21287,175
21292,45
21293,25
21296,101
21297,50
2130,45
21301,100
21302,190
21304,64
21306,126
21307,70
21308,31
21309,5.5
21310,21.5
21313,3
21317,15
21318,188
21328,60
21330,60
21334,25
21336,20
21344,67
21401,258681.51
21402,1472.22
21403,188658.41
21404,270.6
21405,11636.96
21408,49
21409,67478.85
21412,10
21422,44.5
21428,40
21491,15
21493,50
21498,150
21501,115
21502,30686.86
21503,103
21504,5.5
21520,172.5
21521,168.5
21530,5845.3
21531,446.1
21532,7935.4
21536,1244.3
21539,97
21541,1165.67
21545,173.5
21550,9914.01
21555,4643
21557,165
21560,13
21561,2350.7
21562,174
21592,16.5
21601,98872.32
21602,5
21607,110
21610,9877.32
21612,4548
21613,21287.97
21614,15
21617,11513.66
21619,17950.83
21620,91615.14
21622,55
21623,2102.5
21624,1341
21625,1094.22
21628,483.5
21629,4987.22
21631,152.5
21632,3807.83
21635,3784.59
21636,211
21638,8485.12
21639,2797.75
21640,15
21641,88
21643,3808.88
21645,2012.83
21647,3788.28
21649,241.5
21650,2846
21651,1921
21652,1204.36
21653,16
21654,55050.57
21655,1154
21657,2191.5
21658,6788.15
21660,3022
21661,4998.62
21662,38539.58
21663,36987.95
21664,35
21665,1187
21666,19029.29
21667,2544.34
21668,791.3
21669,1660.5
21671,3601.3
21672,229
21673,2351.5
21676,1101
21677,111.5
21678,2775.46
21679,257
21701,104139.09
21702,59244.57
21703,28041.77
21704,22291.88
21705,1584.5
21710,12793.66
21711,38.5
21713,5475.23
21714,1572.5
21715,965
21716,5642.74
21717,732.5
21718,3694
21719,25
21720,60
21722,851.5
21723,367.5
21727,4511.63
21730,0
21733,287
21734,133
21737,7322.46
21738,15037.92
21740,19179.42
21741,640
21742,32889.41
21743,30
21750,14904.93
21753,216.5
21754,19918.18
21755,8883.94
21756,9968.27
21757,875.7
21758,7459.4
21762,740
21765,675.3
21767,302
21768,42.5
21769,18807.57
21770,7734.59
21771,27485.39
21773,7998.66
21774,14034.81
21775,110
21776,4971.74
21777,2415.7
21778,581.5
21779,4644.86
21780,1868
21781,105
21782,2529.42
21783,8533.64
21784,75000.46
21787,2933.7
21788,23259.35
21791,5826.79
21792,185
21793,19038.67
21794,5176.07
21795,4091.77
21797,34859.72
21798,3328.34
21801,24053.25
21802,438.22
21804,29030.13
21806,30
21811,58201.62
21812,12.37
21813,3459.72
21814,601.82
21816,864
21817,928.54
21821,800.42
21822,1130.89
21824,213
21826,1614.72
21830,1502.5
21835,20
21837,412.5
21838,817.8
21840,1351
21841,182.5
21842,11196.53
21843,963.26
21849,916.42
21850,412
21851,3100.82
21853,1125.07
21856,491.5
21861,50
21863,4112.72
21864,298
21865,1160.4
21867,38.5
21869,447.1
21871,349.5
21872,163.5
21874,313
21875,5155.56
21884,50
21901,10491.42
21902,50
21903,5756.78
21904,3114.92
21911,4427.14
21912,1775.5
21913,913
21914,1150
21915,2856.96
21916,24
21917,2447.5
21918,1089.7
21919,3280.2
21920,52.5
21921,23156.18
21922,780
21924,14
21931,10.8
21943,16.5
21965,60
21975,60