county_name,office_name,office_district,candidate_name,party,early_voting,election_day,absentee,provisional,second_absentee,votes
Allegany County,U.S. Congress,06,Adrian Petrus,DEM,0,10,2,0,0,12
Allegany County,U.S. Congress,06,Altimont Mark Wilks,DEM,0,9,4,0,0,13
Allegany County,U.S. Congress,06,April McClain Delaney,DEM,114,544,656,96,18,1428
Allegany County,U.S. Congress,06,Ashwani Jain,DEM,24,125,69,7,3,228
Allegany County,U.S. Congress,06,Brenda J. Thiam,REP,10,53,54,3,0,120
Allegany County,U.S. Congress,06,Chris Hyser,REP,17,99,66,8,0,190
Allegany County,U.S. Congress,06,Dan Cox,REP,204,1505,353,61,7,2130
Allegany County,U.S. Congress,06,Destiny Drake West,DEM,3,23,14,6,0,46
Allegany County,U.S. Congress,06,Geoffrey Grammer,DEM,3,12,18,4,0,37
Allegany County,U.S. Congress,06,George Gluck,DEM,3,26,12,1,0,42
Allegany County,U.S. Congress,06,Joe Vogel,DEM,99,453,353,34,14,953
Allegany County,U.S. Congress,06,Joel Rubin,DEM,3,14,18,4,1,40
Allegany County,U.S. Congress,06,"Kiambo ""Bo"" White",DEM,1,9,6,3,0,19
Allegany County,U.S. Congress,06,Laurie-Anne Sayles,DEM,6,18,23,2,1,50
Allegany County,U.S. Congress,06,Lesley J. Lopez,DEM,10,26,40,2,0,78
Allegany County,U.S. Congress,06,Mariela Roca,REP,103,518,131,13,1,766
Allegany County,U.S. Congress,06,Mohammad S. Mozumder,DEM,0,4,5,1,0,10
Allegany County,U.S. Congress,06,Neil C. Parrott,REP,320,2303,554,72,26,3275
Allegany County,U.S. Congress,06,Peter Choharis,DEM,5,16,24,0,2,47
Allegany County,U.S. Congress,06,"Stephen R. McDow, II",DEM,1,12,10,2,0,25
Allegany County,U.S. Congress,06,Tekesha A. Martinez,DEM,3,32,40,4,5,84
Allegany County,U.S. Congress,06,Todd A. Puglisi,REP,2,20,13,2,0,37
Allegany County,U.S. Congress,06,Tom Royals,REP,47,125,22,5,1,200
Anne Arundel County,U.S. Congress,03,Abigail Diehl,DEM,66,341,321,44,67,839
Anne Arundel County,U.S. Congress,03,Aisha Khan,DEM,78,459,172,38,42,789
Anne Arundel County,U.S. Congress,03,"Arthur Radford Baker, Jr.",REP,562,1756,1122,190,152,3782
Anne Arundel County,U.S. Congress,03,Berney Flowers,REP,618,2204,614,105,110,3651
Anne Arundel County,U.S. Congress,03,Clarence Lam,DEM,186,589,442,48,146,1411
Anne Arundel County,U.S. Congress,03,Danny Craig Rupli,DEM,0,4,1,0,2,7
Anne Arundel County,U.S. Congress,03,Don Quinn,DEM,21,89,73,8,11,202
Anne Arundel County,U.S. Congress,03,Gary Schuman,DEM,16,51,41,5,6,119
Anne Arundel County,U.S. Congress,03,Harry Anthony Dunn,DEM,1261,2889,3904,411,753,9218
Anne Arundel County,U.S. Congress,03,Jake Pretot,DEM,7,19,23,3,5,57
Anne Arundel County,U.S. Congress,03,Jeff Woodard,DEM,26,83,51,7,4,171
Anne Arundel County,U.S. Congress,03,"John H. Morse, III",DEM,47,267,181,32,93,620
Anne Arundel County,U.S. Congress,03,John Rea,REP,100,357,182,37,11,687
Anne Arundel County,U.S. Congress,03,Jordan Mayo,REP,237,1005,479,71,78,1870
Anne Arundel County,U.S. Congress,03,Joshua M. Morales,REP,272,1221,325,89,50,1957
Anne Arundel County,U.S. Congress,03,Juan Dominguez,DEM,35,215,179,32,55,516
Anne Arundel County,U.S. Congress,03,Kristin Anne Lyman Nabors,DEM,17,66,56,3,18,160
Anne Arundel County,U.S. Congress,03,Lindsay Donahue,DEM,45,208,241,27,60,581
Anne Arundel County,U.S. Congress,03,Malcolm Thomas Colombo,DEM,24,94,80,14,29,241
Anne Arundel County,U.S. Congress,03,Mark S. Chang,DEM,285,923,1086,122,177,2593
Anne Arundel County,U.S. Congress,03,Mark Steven Gosnell,DEM,12,45,36,7,5,105
Anne Arundel County,U.S. Congress,03,Matt Libber,DEM,4,34,18,5,2,63
Anne Arundel County,U.S. Congress,03,Michael Coburn,DEM,23,161,100,19,12,315
Anne Arundel County,U.S. Congress,03,Mike Rogers,DEM,318,750,395,53,77,1593
Anne Arundel County,U.S. Congress,03,Naveed Mian,REP,54,247,161,35,31,528
Anne Arundel County,U.S. Congress,03,Ray Bly,REP,162,565,178,36,39,980
Anne Arundel County,U.S. Congress,03,Robert J. Steinberger,REP,870,2888,1125,202,142,5227
Anne Arundel County,U.S. Congress,03,Sarah Elfreth,DEM,1930,5730,6956,775,1440,16831
Anne Arundel County,U.S. Congress,03,Stewart Fred Silver,DEM,8,20,8,0,0,36
Anne Arundel County,U.S. Congress,03,Terri Hill,DEM,79,387,244,39,104,853
Anne Arundel County,U.S. Congress,03,"Thomas E. ""Pinkston"" Harris",REP,332,1310,325,63,33,2063
Anne Arundel County,U.S. Congress,05,Andrea L. Crooms,DEM,136,565,496,52,119,1368
Anne Arundel County,U.S. Congress,05,McKayla Wilkes,DEM,152,760,447,75,169,1603
Anne Arundel County,U.S. Congress,05,Michelle Talkington,REP,1211,3547,1650,277,180,6865
Anne Arundel County,U.S. Congress,05,Quincy Bareebe,DEM,193,681,407,57,156,1494
Anne Arundel County,U.S. Congress,05,Steny Hoyer,DEM,1338,3564,4657,436,842,10837
Baltimore City,U.S. Congress,02,"Clint Spellman, Jr.",DEM,3,33,24,5,10,75
Baltimore City,U.S. Congress,02,Dave Wallace,REP,4,60,21,1,5,91
Baltimore City,U.S. Congress,02,Harry Bhandari,DEM,25,300,181,25,95,626
Baltimore City,U.S. Congress,02,Jessica Sjoberg,DEM,3,71,39,8,10,131
Baltimore City,U.S. Congress,02,"John ""Johnny O"" Olszewski, Jr.",DEM,510,2441,1925,221,800,5897
Baltimore City,U.S. Congress,02,John Thormann,REP,3,21,21,1,2,48
Baltimore City,U.S. Congress,02,Kim Klacik,REP,1,144,80,3,11,239
Baltimore City,U.S. Congress,02,Sharron Reed-Burns,DEM,31,133,69,11,27,271
Baltimore City,U.S. Congress,02,Sia Kyriakakos,DEM,34,333,150,26,119,662
Baltimore City,U.S. Congress,07,Kweisi Mfume,DEM,11326,29491,20697,4276,5417,71207
Baltimore City,U.S. Congress,07,Lorrie A. Sigley,REP,82,336,225,41,45,729
Baltimore City,U.S. Congress,07,Scott M. Collier,REP,165,764,364,52,67,1412
Baltimore City,U.S. Congress,07,Tashi Kimandus Davis,DEM,1097,4733,2018,656,715,9219
Baltimore City,U.S. Congress,07,"Wayne ""For Freedom"" McNeal",REP,113,553,225,56,26,973
Baltimore County,U.S. Congress,01,Andy Harris,REP,1230,2345,787,115,306,4783
Baltimore County,U.S. Congress,01,"Blane H. Miller, III",DEM,483,799,885,132,402,2701
Baltimore County,U.S. Congress,01,Blessing T. Oluwadare,DEM,294,606,447,65,208,1620
Baltimore County,U.S. Congress,01,"Chris Bruneau, Sr.",REP,131,343,141,24,52,691
Baltimore County,U.S. Congress,01,Michael Scott Lemon,REP,75,137,68,11,29,320
Baltimore County,U.S. Congress,02,"Clint Spellman, Jr.",DEM,155,474,331,51,107,1118
Baltimore County,U.S. Congress,02,Dave Wallace,REP,751,2387,930,220,307,4595
Baltimore County,U.S. Congress,02,Harry Bhandari,DEM,886,2560,1369,331,699,5845
Baltimore County,U.S. Congress,02,Jessica Sjoberg,DEM,132,484,412,73,110,1211
Baltimore County,U.S. Congress,02,"John ""Johnny O"" Olszewski, Jr.",DEM,8526,17396,17654,2481,7306,53363
Baltimore County,U.S. Congress,02,John Thormann,REP,503,1400,855,175,253,3186
Baltimore County,U.S. Congress,02,Kim Klacik,REP,3271,8379,3235,591,1058,16534
Baltimore County,U.S. Congress,02,Sharron Reed-Burns,DEM,379,1116,788,147,269,2699
Baltimore County,U.S. Congress,02,Sia Kyriakakos,DEM,228,1071,827,182,402,2710
Baltimore County,U.S. Congress,07,Kweisi Mfume,DEM,3465,6271,4957,760,2067,17520
Baltimore County,U.S. Congress,07,Lorrie A. Sigley,REP,251,575,258,54,84,1222
Baltimore County,U.S. Congress,07,Scott M. Collier,REP,574,1631,408,110,154,2877
Baltimore County,U.S. Congress,07,Tashi Kimandus Davis,DEM,360,1125,596,136,204,2421
Baltimore County,U.S. Congress,07,"Wayne ""For Freedom"" McNeal",REP,320,1144,251,63,53,1831
Calvert County,U.S. Congress,05,Andrea L. Crooms,DEM,53,230,182,15,5,485
Calvert County,U.S. Congress,05,McKayla Wilkes,DEM,83,259,273,21,15,651
Calvert County,U.S. Congress,05,Michelle Talkington,REP,1238,3388,1338,144,29,6137
Calvert County,U.S. Congress,05,Quincy Bareebe,DEM,43,128,131,12,3,317
Calvert County,U.S. Congress,05,Steny Hoyer,DEM,946,2070,3070,171,52,6309
Caroline County,U.S. Congress,01,Andy Harris,REP,389,1365,299,46,12,2111
Caroline County,U.S. Congress,01,"Blane H. Miller, III",DEM,148,258,239,19,9,673
Caroline County,U.S. Congress,01,Blessing T. Oluwadare,DEM,80,204,181,17,10,492
Caroline County,U.S. Congress,01,"Chris Bruneau, Sr.",REP,48,149,58,5,3,263
Caroline County,U.S. Congress,01,Michael Scott Lemon,REP,27,122,31,4,1,185
Carroll County,U.S. Congress,02,"Clint Spellman, Jr.",DEM,44,102,111,15,1,273
Carroll County,U.S. Congress,02,Dave Wallace,REP,796,3015,832,91,13,4747
Carroll County,U.S. Congress,02,Harry Bhandari,DEM,62,282,302,22,11,679
Carroll County,U.S. Congress,02,Jessica Sjoberg,DEM,46,165,122,14,3,350
Carroll County,U.S. Congress,02,"John ""Johnny O"" Olszewski, Jr.",DEM,1047,2143,3223,240,82,6735
Carroll County,U.S. Congress,02,John Thormann,REP,385,1111,616,49,19,2180
Carroll County,U.S. Congress,02,Kim Klacik,REP,1817,5133,1498,137,19,8604
Carroll County,U.S. Congress,02,Sharron Reed-Burns,DEM,60,202,211,25,4,502
Carroll County,U.S. Congress,02,Sia Kyriakakos,DEM,63,258,344,30,13,708
Carroll County,U.S. Congress,03,Abigail Diehl,DEM,1,10,12,3,0,26
Carroll County,U.S. Congress,03,Aisha Khan,DEM,0,19,5,1,0,25
Carroll County,U.S. Congress,03,"Arthur Radford Baker, Jr.",REP,48,211,124,9,2,394
Carroll County,U.S. Congress,03,Berney Flowers,REP,44,275,57,3,0,379
Carroll County,U.S. Congress,03,Clarence Lam,DEM,11,37,29,1,2,80
Carroll County,U.S. Congress,03,Danny Craig Rupli,DEM,0,1,1,0,0,2
Carroll County,U.S. Congress,03,Don Quinn,DEM,0,2,2,1,0,5
Carroll County,U.S. Congress,03,Gary Schuman,DEM,0,4,1,1,0,6
Carroll County,U.S. Congress,03,Harry Anthony Dunn,DEM,49,124,192,7,1,373
Carroll County,U.S. Congress,03,Jake Pretot,DEM,2,1,0,0,0,3
Carroll County,U.S. Congress,03,Jeff Woodard,DEM,2,7,2,0,0,11
Carroll County,U.S. Congress,03,"John H. Morse, III",DEM,1,15,7,1,1,25
Carroll County,U.S. Congress,03,John Rea,REP,4,26,6,1,1,38
Carroll County,U.S. Congress,03,Jordan Mayo,REP,15,82,24,1,0,122
Carroll County,U.S. Congress,03,Joshua M. Morales,REP,14,105,31,5,0,155
Carroll County,U.S. Congress,03,Juan Dominguez,DEM,2,7,9,0,0,18
Carroll County,U.S. Congress,03,Kristin Anne Lyman Nabors,DEM,1,8,2,0,0,11
Carroll County,U.S. Congress,03,Lindsay Donahue,DEM,1,17,14,2,1,35
Carroll County,U.S. Congress,03,Malcolm Thomas Colombo,DEM,0,4,11,1,0,16
Carroll County,U.S. Congress,03,Mark S. Chang,DEM,2,16,10,2,0,30
Carroll County,U.S. Congress,03,Mark Steven Gosnell,DEM,0,5,5,0,1,11
Carroll County,U.S. Congress,03,Matt Libber,DEM,2,6,0,0,0,8
Carroll County,U.S. Congress,03,Michael Coburn,DEM,0,2,3,1,0,6
Carroll County,U.S. Congress,03,Mike Rogers,DEM,0,10,6,2,0,18
Carroll County,U.S. Congress,03,Naveed Mian,REP,2,14,17,1,0,34
Carroll County,U.S. Congress,03,Ray Bly,REP,7,97,16,2,0,122
Carroll County,U.S. Congress,03,Robert J. Steinberger,REP,41,313,50,2,4,410
Carroll County,U.S. Congress,03,Sarah Elfreth,DEM,43,218,204,8,10,483
Carroll County,U.S. Congress,03,Stewart Fred Silver,DEM,0,0,0,0,0,0
Carroll County,U.S. Congress,03,Terri Hill,DEM,3,22,10,1,0,36
Carroll County,U.S. Congress,03,"Thomas E. ""Pinkston"" Harris",REP,12,72,15,0,0,99
Cecil County,U.S. Congress,01,Andy Harris,REP,1839,5663,1005,114,389,9010
Cecil County,U.S. Congress,01,"Blane H. Miller, III",DEM,361,935,887,23,335,2541
Cecil County,U.S. Congress,01,Blessing T. Oluwadare,DEM,196,549,384,19,195,1343
Cecil County,U.S. Congress,01,"Chris Bruneau, Sr.",REP,646,1678,436,51,188,2999
Cecil County,U.S. Congress,01,Michael Scott Lemon,REP,212,712,169,28,80,1201
Charles County,U.S. Congress,05,Andrea L. Crooms,DEM,128,646,339,52,17,1182
Charles County,U.S. Congress,05,McKayla Wilkes,DEM,288,1311,838,89,45,2571
Charles County,U.S. Congress,05,Michelle Talkington,REP,772,2405,1066,57,36,4336
Charles County,U.S. Congress,05,Quincy Bareebe,DEM,435,1310,384,89,26,2244
Charles County,U.S. Congress,05,Steny Hoyer,DEM,2149,5507,5400,295,148,13499
Dorchester County,U.S. Congress,01,Andy Harris,REP,379,1514,209,96,129,2327
Dorchester County,U.S. Congress,01,"Blane H. Miller, III",DEM,182,352,321,84,103,1042
Dorchester County,U.S. Congress,01,Blessing T. Oluwadare,DEM,142,309,263,61,70,845
Dorchester County,U.S. Congress,01,"Chris Bruneau, Sr.",REP,68,259,51,17,28,423
Dorchester County,U.S. Congress,01,Michael Scott Lemon,REP,9,45,19,6,12,91
Frederick County,U.S. Congress,06,Adrian Petrus,DEM,6,25,15,3,11,60
Frederick County,U.S. Congress,06,Altimont Mark Wilks,DEM,10,50,13,4,6,83
Frederick County,U.S. Congress,06,April McClain Delaney,DEM,1074,3673,1730,375,2873,9725
Frederick County,U.S. Congress,06,Ashwani Jain,DEM,227,968,322,122,511,2150
Frederick County,U.S. Congress,06,Brenda J. Thiam,REP,57,212,75,18,98,460
Frederick County,U.S. Congress,06,Chris Hyser,REP,63,356,122,23,130,694
Frederick County,U.S. Congress,06,Dan Cox,REP,934,4675,555,160,543,6867
Frederick County,U.S. Congress,06,Destiny Drake West,DEM,50,186,54,13,82,385
Frederick County,U.S. Congress,06,Geoffrey Grammer,DEM,21,89,65,16,66,257
Frederick County,U.S. Congress,06,George Gluck,DEM,6,78,42,6,36,168
Frederick County,U.S. Congress,06,Joe Vogel,DEM,711,3027,1077,277,1827,6919
Frederick County,U.S. Congress,06,Joel Rubin,DEM,23,101,95,15,56,290
Frederick County,U.S. Congress,06,"Kiambo ""Bo"" White",DEM,13,86,29,5,26,159
Frederick County,U.S. Congress,06,Laurie-Anne Sayles,DEM,58,146,139,23,140,506
Frederick County,U.S. Congress,06,Lesley J. Lopez,DEM,65,336,226,52,265,944
Frederick County,U.S. Congress,06,Mariela Roca,REP,385,1823,291,65,312,2876
Frederick County,U.S. Congress,06,Mohammad S. Mozumder,DEM,31,201,55,19,87,393
Frederick County,U.S. Congress,06,Neil C. Parrott,REP,998,4421,691,143,683,6936
Frederick County,U.S. Congress,06,Peter Choharis,DEM,26,101,97,17,91,332
Frederick County,U.S. Congress,06,"Stephen R. McDow, II",DEM,7,38,38,5,27,115
Frederick County,U.S. Congress,06,Tekesha A. Martinez,DEM,134,608,264,62,462,1530
Frederick County,U.S. Congress,06,Todd A. Puglisi,REP,13,112,46,7,28,206
Frederick County,U.S. Congress,06,Tom Royals,REP,172,581,88,27,155,1023
Garrett County,U.S. Congress,06,Adrian Petrus,DEM,0,2,2,0,0,4
Garrett County,U.S. Congress,06,Altimont Mark Wilks,DEM,2,3,2,1,0,8
Garrett County,U.S. Congress,06,April McClain Delaney,DEM,84,160,188,43,66,541
Garrett County,U.S. Congress,06,Ashwani Jain,DEM,8,17,26,3,5,59
Garrett County,U.S. Congress,06,Brenda J. Thiam,REP,15,27,20,5,6,73
Garrett County,U.S. Congress,06,Chris Hyser,REP,13,69,28,4,5,119
Garrett County,U.S. Congress,06,Dan Cox,REP,280,930,141,22,26,1399
Garrett County,U.S. Congress,06,Destiny Drake West,DEM,3,6,8,0,1,18
Garrett County,U.S. Congress,06,Geoffrey Grammer,DEM,2,9,4,1,3,19
Garrett County,U.S. Congress,06,George Gluck,DEM,0,3,1,0,0,4
Garrett County,U.S. Congress,06,Joe Vogel,DEM,87,189,125,22,21,444
Garrett County,U.S. Congress,06,Joel Rubin,DEM,4,4,2,0,2,12
Garrett County,U.S. Congress,06,"Kiambo ""Bo"" White",DEM,0,10,1,2,0,13
Garrett County,U.S. Congress,06,Laurie-Anne Sayles,DEM,4,2,11,0,1,18
Garrett County,U.S. Congress,06,Lesley J. Lopez,DEM,6,16,9,1,3,35
Garrett County,U.S. Congress,06,Mariela Roca,REP,99,278,67,12,4,460
Garrett County,U.S. Congress,06,Mohammad S. Mozumder,DEM,0,0,2,0,0,2
Garrett County,U.S. Congress,06,Neil C. Parrott,REP,426,1362,238,51,58,2135
Garrett County,U.S. Congress,06,Peter Choharis,DEM,3,4,3,0,2,12
Garrett County,U.S. Congress,06,"Stephen R. McDow, II",DEM,1,6,3,1,4,15
Garrett County,U.S. Congress,06,Tekesha A. Martinez,DEM,0,9,8,1,8,26
Garrett County,U.S. Congress,06,Todd A. Puglisi,REP,3,13,4,2,1,23
Garrett County,U.S. Congress,06,Tom Royals,REP,35,73,16,3,3,130
Harford County,U.S. Congress,01,Andy Harris,REP,3857,10646,2600,849,232,18184
Harford County,U.S. Congress,01,"Blane H. Miller, III",DEM,1533,3463,2989,1123,415,9523
Harford County,U.S. Congress,01,Blessing T. Oluwadare,DEM,1125,2778,1476,738,326,6443
Harford County,U.S. Congress,01,"Chris Bruneau, Sr.",REP,732,2541,616,221,80,4190
Harford County,U.S. Congress,01,Michael Scott Lemon,REP,236,787,293,103,41,1460
Howard County,U.S. Congress,03,Abigail Diehl,DEM,48,239,150,67,10,514
Howard County,U.S. Congress,03,Aisha Khan,DEM,153,839,248,123,22,1385
Howard County,U.S. Congress,03,"Arthur Radford Baker, Jr.",REP,503,1360,667,200,25,2755
Howard County,U.S. Congress,03,Berney Flowers,REP,353,1291,263,83,8,1998
Howard County,U.S. Congress,03,Clarence Lam,DEM,1333,3278,2209,1115,122,8057
Howard County,U.S. Congress,03,Danny Craig Rupli,DEM,2,18,4,1,0,25
Howard County,U.S. Congress,03,Don Quinn,DEM,31,109,30,28,3,201
Howard County,U.S. Congress,03,Gary Schuman,DEM,18,82,45,14,2,161
Howard County,U.S. Congress,03,Harry Anthony Dunn,DEM,1846,4146,3330,1328,139,10789
Howard County,U.S. Congress,03,Jake Pretot,DEM,12,53,26,10,1,102
Howard County,U.S. Congress,03,Jeff Woodard,DEM,28,96,34,9,3,170
Howard County,U.S. Congress,03,"John H. Morse, III",DEM,67,394,137,179,25,802
Howard County,U.S. Congress,03,John Rea,REP,52,216,102,24,1,395
Howard County,U.S. Congress,03,Jordan Mayo,REP,145,551,175,50,5,926
Howard County,U.S. Congress,03,Joshua M. Morales,REP,161,677,154,50,5,1047
Howard County,U.S. Congress,03,Juan Dominguez,DEM,49,213,136,81,12,491
Howard County,U.S. Congress,03,Kristin Anne Lyman Nabors,DEM,25,114,58,23,6,226
Howard County,U.S. Congress,03,Lindsay Donahue,DEM,63,270,185,66,13,597
Howard County,U.S. Congress,03,Malcolm Thomas Colombo,DEM,27,129,56,48,10,270
Howard County,U.S. Congress,03,Mark S. Chang,DEM,133,673,447,195,35,1483
Howard County,U.S. Congress,03,Mark Steven Gosnell,DEM,18,36,41,8,2,105
Howard County,U.S. Congress,03,Matt Libber,DEM,16,37,24,11,0,88
Howard County,U.S. Congress,03,Michael Coburn,DEM,37,144,50,28,3,262
Howard County,U.S. Congress,03,Mike Rogers,DEM,137,220,116,57,6,536
Howard County,U.S. Congress,03,Naveed Mian,REP,79,235,160,40,9,523
Howard County,U.S. Congress,03,Ray Bly,REP,144,589,133,44,3,913
Howard County,U.S. Congress,03,Robert J. Steinberger,REP,583,1784,564,174,24,3129
Howard County,U.S. Congress,03,Sarah Elfreth,DEM,1677,5075,3370,1796,227,12145
Howard County,U.S. Congress,03,Stewart Fred Silver,DEM,1,20,19,2,0,42
Howard County,U.S. Congress,03,Terri Hill,DEM,791,2175,822,580,61,4429
Howard County,U.S. Congress,03,"Thomas E. ""Pinkston"" Harris",REP,112,461,93,24,5,695
Kent County,U.S. Congress,01,Andy Harris,REP,247,843,235,41,16,1382
Kent County,U.S. Congress,01,"Blane H. Miller, III",DEM,231,316,432,35,48,1062
Kent County,U.S. Congress,01,Blessing T. Oluwadare,DEM,160,244,217,21,29,671
Kent County,U.S. Congress,01,"Chris Bruneau, Sr.",REP,58,165,43,12,8,286
Kent County,U.S. Congress,01,Michael Scott Lemon,REP,23,53,32,1,6,115
Montgomery County,U.S. Congress,04,Emmett Johnson,DEM,42,92,36,11,46,227
Montgomery County,U.S. Congress,04,Gabriel Njinimbot,DEM,49,233,50,24,49,405
Montgomery County,U.S. Congress,04,George McDermott,REP,82,170,81,13,51,397
Montgomery County,U.S. Congress,04,Glenn F. Ivey,DEM,540,808,531,79,474,2432
Montgomery County,U.S. Congress,04,Joseph Gomes,DEM,31,119,54,12,32,248
Montgomery County,U.S. Congress,06,Adrian Petrus,DEM,7,29,15,1,5,57
Montgomery County,U.S. Congress,06,Altimont Mark Wilks,DEM,10,21,6,2,8,47
Montgomery County,U.S. Congress,06,April McClain Delaney,DEM,983,2797,1640,213,2133,7766
Montgomery County,U.S. Congress,06,Ashwani Jain,DEM,212,790,367,78,329,1776
Montgomery County,U.S. Congress,06,Brenda J. Thiam,REP,28,83,46,4,50,211
Montgomery County,U.S. Congress,06,Chris Hyser,REP,29,103,63,13,64,272
Montgomery County,U.S. Congress,06,Dan Cox,REP,233,884,222,33,219,1591
Montgomery County,U.S. Congress,06,Destiny Drake West,DEM,55,282,92,20,88,537
Montgomery County,U.S. Congress,06,Geoffrey Grammer,DEM,18,81,79,2,53,233
Montgomery County,U.S. Congress,06,George Gluck,DEM,23,40,46,2,34,145
Montgomery County,U.S. Congress,06,Joe Vogel,DEM,598,2139,952,129,1150,4968
Montgomery County,U.S. Congress,06,Joel Rubin,DEM,19,88,151,9,94,361
Montgomery County,U.S. Congress,06,"Kiambo ""Bo"" White",DEM,14,77,19,10,17,137
Montgomery County,U.S. Congress,06,Laurie-Anne Sayles,DEM,203,393,264,22,249,1131
Montgomery County,U.S. Congress,06,Lesley J. Lopez,DEM,152,443,352,34,339,1320
Montgomery County,U.S. Congress,06,Mariela Roca,REP,135,485,121,14,99,854
Montgomery County,U.S. Congress,06,Mohammad S. Mozumder,DEM,53,226,94,27,112,512
Montgomery County,U.S. Congress,06,Neil C. Parrott,REP,372,1199,281,39,290,2181
Montgomery County,U.S. Congress,06,Peter Choharis,DEM,29,78,107,14,73,301
Montgomery County,U.S. Congress,06,"Stephen R. McDow, II",DEM,7,20,16,1,10,54
Montgomery County,U.S. Congress,06,Tekesha A. Martinez,DEM,117,313,207,25,254,916
Montgomery County,U.S. Congress,06,Todd A. Puglisi,REP,15,53,19,6,17,110
Montgomery County,U.S. Congress,06,Tom Royals,REP,95,214,56,10,58,433
Montgomery County,U.S. Congress,08,Cheryl Riley,REP,1518,4524,1944,241,1420,9647
Montgomery County,U.S. Congress,08,Eric Felber,DEM,691,2651,1153,234,907,5636
Montgomery County,U.S. Congress,08,Jamie Raskin,DEM,11837,37225,26261,3695,24051,103069
Montgomery County,U.S. Congress,08,Michael Yadeta,REP,592,2138,784,120,656,4290
Prince George's County,U.S. Congress,04,Emmett Johnson,DEM,396,1851,511,184,666,3608
Prince George's County,U.S. Congress,04,Gabriel Njinimbot,DEM,516,1936,458,230,821,3961
Prince George's County,U.S. Congress,04,George McDermott,REP,449,1471,640,92,514,3166
Prince George's County,U.S. Congress,04,Glenn F. Ivey,DEM,10697,23889,11410,2048,16183,64227
Prince George's County,U.S. Congress,04,Joseph Gomes,DEM,300,1774,554,183,614,3425
Prince George's County,U.S. Congress,05,Andrea L. Crooms,DEM,640,1707,357,149,551,3404
Prince George's County,U.S. Congress,05,McKayla Wilkes,DEM,567,1995,545,155,966,4228
Prince George's County,U.S. Congress,05,Michelle Talkington,REP,393,927,370,35,282,2007
Prince George's County,U.S. Congress,05,Quincy Bareebe,DEM,1346,3033,325,224,622,5550
Prince George's County,U.S. Congress,05,Steny Hoyer,DEM,7135,11765,5252,919,8359,33430
Prince George's County,U.S. Congress,08,Cheryl Riley,REP,0,0,0,0,0,0
Prince George's County,U.S. Congress,08,Eric Felber,DEM,0,0,0,0,0,0
Prince George's County,U.S. Congress,08,Jamie Raskin,DEM,2,0,0,0,0,2
Prince George's County,U.S. Congress,08,Michael Yadeta,REP,0,0,0,0,0,0
Queen Anne's County,U.S. Congress,01,Andy Harris,REP,1116,2529,707,93,47,4492
Queen Anne's County,U.S. Congress,01,"Blane H. Miller, III",DEM,347,685,754,59,40,1885
Queen Anne's County,U.S. Congress,01,Blessing T. Oluwadare,DEM,239,395,399,39,24,1096
Queen Anne's County,U.S. Congress,01,"Chris Bruneau, Sr.",REP,190,495,187,29,9,910
Queen Anne's County,U.S. Congress,01,Michael Scott Lemon,REP,69,206,62,14,8,359
Saint Mary's County,U.S. Congress,05,Andrea L. Crooms,DEM,77,237,171,13,18,516
Saint Mary's County,U.S. Congress,05,McKayla Wilkes,DEM,101,301,243,25,20,690
Saint Mary's County,U.S. Congress,05,Michelle Talkington,REP,2117,4310,1225,125,80,7857
Saint Mary's County,U.S. Congress,05,Quincy Bareebe,DEM,62,148,137,11,7,365
