YEAR,COUNTY,DEM,REP,GRN,LIB,OTH,UNA,Total
2020,Allegany,12820,22530,74,204,434,7674,43736
2020,Anne Arundel,174494,135457,564,1922,3017,90162,405616
2020,Baltimore City,311610,30163,802,951,3709,52450,399685
2020,Baltimore County,313870,142534,898,2227,6303,100576,566408
2020,Calvert,24587,28181,89,332,617,14178,67984
2020,Caroline,6629,10039,33,86,182,4208,21177
2020,Carroll,33662,63967,155,670,1137,25770,125361
2020,Cecil,21601,30880,103,341,784,15110,68819
2020,Charles,72416,24711,112,349,865,19849,118302
2020,Dorchester,9848,8730,19,78,164,3348,22187
2020,Frederick,72487,68767,272,936,933,42961,186356
2020,Garrett,3990,13318,21,86,168,2600,20183
2020,Harford,66258,80038,232,966,1656,37942,187092
2020,Howard,118705,52748,317,812,2143,51909,226634
2020,Kent,6008,4996,19,50,129,2293,13495
2020,Montgomery,410935,105561,1036,2030,6219,147417,673198
2020,Prince George's,474841,40095,707,1177,11607,78012,606439
2020,Queen Anne's,11091,18930,41,188,295,7133,37678
2020,St. Mary's,26373,30661,100,375,663,15661,73833
2020,Somerset,5704,5713,18,48,106,2048,13637
2020,Talbot,10749,11711,30,118,264,5122,27994
2020,Washington,32791,44161,130,513,942,20509,99046
2020,Wicomico,27194,23646,93,312,701,12291,64237
2020,Worcester,14134,18275,52,179,460,7565,40665
2020,TOTAL,2262797,1015812,5917,14950,43498,766788,4109762