GEOCODE,NAME,pop_18_over,pop_one_race,pop_white,pop_black,pop_native,pop_asian,pop_pacific,pop_other,pop_two_more
24001,Allegany,56039,54231,48215,4923,121,603,13,356,1808
24003,Anne Arundel,456018,426068,305168,79204,1795,20601,349,18951,29950
24005,Baltimore County,669511,635625,375153,192662,2650,42424,237,22499,33886
24009,Calvert,70925,66635,54604,9609,236,1261,47,878,4290
24011,Caroline,25372,24156,19438,3319,105,245,16,1033,1216
24013,Carroll,135048,128857,118552,5119,314,2851,33,1988,6191
24015,Cecil,80465,75960,67421,5852,235,1037,20,1395,4505
24017,Charles,126667,118669,48247,61035,1021,4494,125,3747,7998
24019,Dorchester,25733,24633,16876,6752,115,275,9,606,1100
24021,Frederick,207660,192568,151654,20093,874,10127,134,9686,15092
24023,Garrett,23335,22756,22375,184,33,68,7,89,579
24025,Harford,202309,191471,153311,27243,551,6365,142,3859,10838
24027,Howard,251136,235154,129822,47069,810,48638,107,8708,15982
24029,Kent,16164,15451,12652,2230,36,220,0,313,713
24031,Montgomery,819119,740382,373261,147983,5234,131059,462,82383,78737
24033,Prince George's,756049,704833,107294,460461,6545,35378,435,94720,51216
24035,Queen Anne's,39108,37438,33774,2280,119,466,14,785,1670
24037,St. Mary's,86370,80954,63955,12330,349,2707,76,1537,5416
24039,Somerset,20381,19763,11060,7947,102,204,1,449,618
24041,Talbot,30682,29293,24183,3381,106,406,12,1205,1389
24043,Washington,121143,114667,95320,13417,373,2306,67,3184,6476
24045,Wicomico,80944,76941,50971,20714,327,2505,32,2392,4003
24047,Worcester,43324,41664,35525,4813,123,592,5,606,1660
24510,Baltimore City,471700,448485,142681,265435,1754,19684,152,18779,23215